FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
15JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,95,0,,0
15JAN2021:00:00:00,41 a 50,M,Sputnik,Público,180,0,,0
15JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,31,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,72,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Público,283,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,27,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,48,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público,146,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,12,0,,0
15JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,2,0,,0
15JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,41,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público,99,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público,68,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,7,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,95,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público,205,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,27,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,56,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público,101,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,19,0,,0
16JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,35,0,,0
