FECHA,<=10M,<=10F,<=10,11-20M,11-20F,11-20,21-30M,21-30F,21-30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total
2020-03-15,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4
2020-03-16,0,0,0,0,1,1,4,2,6,4,0,4,1,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,10,5,15
2020-03-17,0,0,0,1,1,2,5,3,8,6,1,7,1,0,1,2,3,5,1,3,4,2,0,2,0,0,0,0,0,0,18,11,29
2020-03-18,0,0,0,1,1,2,7,5,12,8,3,11,2,2,4,3,3,6,1,4,5,2,0,2,0,0,0,0,0,0,24,18,42
2020-03-19,0,0,0,2,1,3,9,5,14,12,3,15,4,2,6,4,4,8,1,5,6,4,1,5,0,0,0,0,0,0,36,21,57
2020-03-20,0,0,0,2,1,3,14,5,19,14,3,17,6,2,8,6,4,10,2,6,8,4,3,7,0,1,1,0,0,0,48,25,73
2020-03-21,2,0,2,3,3,6,16,5,21,15,7,22,8,3,11,9,7,16,5,7,12,6,3,9,0,1,1,0,0,0,64,36,100
2020-03-22,2,0,2,3,3,6,18,7,25,20,7,27,12,3,15,11,11,22,7,7,14,9,4,13,0,1,1,0,0,0,82,43,125
2020-03-23,2,0,2,4,3,7,20,9,29,25,9,34,14,4,18,15,13,28,8,9,17,12,6,18,1,1,2,0,0,0,101,54,155
2020-03-24,2,0,2,4,3,7,23,14,37,34,10,44,16,5,21,17,14,31,9,9,18,13,7,20,2,1,3,0,0,0,120,63,183
2020-03-25,4,0,4,5,4,9,27,18,45,36,12,48,20,5,25,19,14,33,11,9,20,14,7,21,3,3,6,0,1,1,139,73,212
2020-03-26,4,0,4,5,5,10,28,19,47,38,13,51,22,5,27,21,18,39,13,12,25,16,8,24,4,3,7,0,1,1,151,84,235
2020-03-27,4,0,4,5,5,10,29,21,50,42,13,55,23,8,31,22,19,41,15,14,29,16,10,26,4,3,7,0,1,1,160,94,254
2020-03-28,4,0,4,5,5,10,30,22,52,43,16,59,25,9,34,23,20,43,16,15,31,17,12,29,6,3,9,0,1,1,169,103,272
2020-03-29,4,0,4,5,5,10,33,25,58,49,19,68,25,9,34,24,24,48,18,19,37,20,14,34,6,3,9,1,1,2,185,119,304
2020-03-30,4,0,4,5,6,11,38,28,66,50,21,71,28,11,39,27,24,51,21,22,43,24,15,39,6,3,9,1,2,3,204,132,336
2020-03-31,5,0,5,5,7,12,40,30,70,52,22,74,31,12,43,32,24,56,23,23,46,27,19,46,6,4,10,1,4,5,222,145,367
2020-04-01,5,0,5,6,8,14,42,34,76,55,27,82,34,14,48,34,28,62,27,25,52,27,20,47,6,5,11,1,4,5,237,165,402
2020-04-02,5,0,5,6,8,14,43,34,77,58,32,90,36,15,51,36,31,67,29,25,54,35,22,57,6,9,15,2,7,9,256,183,439
2020-04-03,5,0,5,6,8,14,46,36,82,59,33,92,38,16,54,37,35,72,30,28,58,37,22,59,6,10,16,2,8,10,266,196,462
2020-04-04,5,2,7,6,8,14,48,38,86,60,33,93,38,17,55,39,36,75,31,30,61,37,22,59,6,11,17,3,8,11,273,205,478
2020-04-05,6,2,8,6,8,14,48,40,88,62,34,96,38,21,59,39,37,76,32,30,62,39,23,62,7,11,18,3,8,11,280,214,494
2020-04-06,6,2,8,6,8,14,49,42,91,65,37,102,39,21,60,40,42,82,35,32,67,41,25,66,7,12,19,3,8,11,291,229,520
2020-04-07,6,2,8,6,9,15,52,42,94,66,42,108,40,21,61,42,43,85,36,32,68,42,27,69,8,12,20,5,8,13,303,238,541
2020-04-08,8,2,10,7,9,16,53,43,96,67,49,116,41,23,64,44,43,87,37,32,69,44,28,72,8,12,20,5,8,13,314,249,563
2020-04-09,8,2,10,7,10,17,54,43,97,72,49,121,41,24,65,45,43,88,37,33,70,44,28,72,8,12,20,5,8,13,321,252,573
2020-04-10,8,2,10,7,10,17,54,44,98,76,52,128,41,24,65,46,43,89,37,33,70,44,28,72,8,12,20,5,8,13,326,256,582
2020-04-11,8,2,10,7,10,17,54,44,98,77,54,131,41,26,67,47,43,90,37,33,70,44,28,72,10,13,23,5,8,13,330,261,591
2020-04-12,8,2,10,7,10,17,55,44,99,80,57,137,41,26,67,47,45,92,37,33,70,44,29,73,11,14,25,5,8,13,335,268,603
2020-04-13,9,2,11,7,10,17,57,45,102,82,60,142,44,27,71,47,48,95,37,35,72,45,30,75,11,14,25,5,8,13,344,279,623
2020-04-14,9,2,11,7,10,17,60,47,107,86,61,147,45,29,74,49,49,98,40,36,76,47,30,77,11,15,26,5,9,14,359,288,647
2020-04-15,9,2,11,7,10,17,60,48,108,88,63,151,47,30,77,49,50,99,40,36,76,47,30,77,11,16,27,5,9,14,363,294,657
2020-04-16,9,2,11,7,10,17,60,50,110,92,65,157,48,30,78,52,52,104,41,36,77,50,31,81,11,22,33,6,10,16,376,308,684
2020-04-17,9,2,11,7,10,17,62,52,114,94,69,163,49,31,80,53,53,106,42,37,79,50,32,82,13,26,39,6,11,17,385,323,708
2020-04-18,9,3,12,7,10,17,63,53,116,94,70,164,51,33,84,54,54,108,44,38,82,51,33,84,14,31,45,6,14,20,393,339,732
2020-04-19,9,3,12,7,10,17,66,53,119,98,74,172,51,37,88,55,54,109,44,39,83,52,36,88,14,33,47,7,17,24,403,356,759
