FECHA,<=10M,<=10F,<=10,11-20M,11-20F,11-20,21-30M,21-30F,21-30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total
2020-03-15,1,0,1,0,0,0,0,2,2,2,1,3,1,1,2,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,7,5,12
2020-03-16,2,3,5,1,1,2,1,5,6,3,2,5,1,1,2,4,1,5,3,2,5,1,1,2,0,0,0,0,0,0,16,16,32
2020-03-17,3,7,10,2,2,4,3,6,9,4,4,8,2,4,6,4,3,7,4,4,8,3,3,6,1,0,1,0,0,0,26,33,59
2020-03-18,6,8,14,3,2,5,4,6,10,6,5,11,3,7,10,5,4,9,4,6,10,4,3,7,2,0,2,0,0,0,37,41,78
2020-03-19,9,9,18,3,2,5,7,8,15,9,6,15,5,8,13,5,4,9,5,7,12,5,4,9,2,0,2,1,0,1,51,48,99
2020-03-20,10,10,20,4,2,6,8,8,16,10,9,19,5,9,14,5,5,10,6,8,14,7,6,13,3,0,3,1,0,1,59,57,116
2020-03-21,10,10,20,7,3,10,9,10,19,13,10,23,7,10,17,6,5,11,8,10,18,8,7,15,4,0,4,2,0,2,74,65,139
2020-03-22,13,11,24,7,3,10,13,11,24,13,10,23,7,10,17,9,6,15,8,11,19,10,7,17,7,2,9,2,1,3,89,72,161
2020-03-23,17,12,29,7,5,12,15,13,28,16,11,27,8,11,19,11,7,18,10,12,22,14,10,24,10,5,15,2,3,5,110,89,199
2020-03-24,19,13,32,7,5,12,17,15,32,18,12,30,8,13,21,13,9,22,10,13,23,16,10,26,12,6,18,3,3,6,123,99,222
2020-03-25,20,17,37,7,5,12,19,18,37,20,18,38,9,14,23,14,12,26,13,14,27,17,12,29,14,11,25,5,3,8,138,124,262
2020-03-26,24,20,44,9,7,16,21,20,41,24,21,45,10,18,28,18,14,32,14,18,32,21,15,36,19,11,30,7,4,11,167,148,315
2020-03-27,27,23,50,9,8,17,22,22,44,29,22,51,11,22,33,19,17,36,16,22,38,26,20,46,22,14,36,9,9,18,190,179,369
2020-03-28,29,24,53,9,8,17,24,24,48,31,23,54,12,23,35,23,19,42,20,22,42,30,27,57,25,15,40,9,9,18,212,194,406
2020-03-29,31,24,55,11,9,20,26,27,53,33,25,58,14,26,40,24,19,43,25,25,50,34,29,63,29,16,45,11,10,21,238,210,448
2020-03-30,34,26,60,11,9,20,27,33,60,40,27,67,18,30,48,25,20,45,32,26,58,37,34,71,33,17,50,14,12,26,271,234,505
2020-03-31,42,29,71,12,9,21,34,35,69,48,30,78,23,34,57,28,21,49,38,29,67,41,37,78,35,20,55,18,12,30,319,256,575
2020-04-01,53,39,92,13,11,24,39,39,78,57,32,89,35,39,74,32,28,60,42,32,74,46,41,87,40,25,65,18,13,31,375,299,674
2020-04-02,63,48,111,15,15,30,43,45,88,62,38,100,38,45,83,34,36,70,51,38,89,54,46,100,45,32,77,21,16,37,426,359,785
2020-04-03,80,57,137,19,19,38,48,52,100,69,49,118,46,56,102,37,42,79,59,43,102,61,50,111,50,38,88,22,21,43,491,427,918
2020-04-04,89,70,159,22,23,45,50,59,109,72,59,131,52,59,111,43,42,85,65,46,111,63,55,118,54,40,94,23,24,47,533,477,1010
2020-04-05,98,80,178,26,28,54,56,60,116,79,61,140,60,64,124,47,46,93,66,57,123,69,63,132,57,44,101,25,26,51,583,529,1112
2020-04-06,109,89,198,30,30,60,65,64,129,90,66,156,71,67,138,56,49,105,74,65,139,79,68,147,64,48,112,26,29,55,664,575,1239
2020-04-07,119,98,217,34,34,68,70,68,138,98,73,171,76,73,149,65,51,116,77,69,146,87,76,163,70,59,129,28,30,58,724,631,1355
2020-04-08,127,108,235,38,36,74,74,76,150,103,76,179,85,77,162,72,56,128,86,75,161,98,80,178,71,63,134,31,35,66,785,682,1467
2020-04-09,132,112,244,41,39,80,77,83,160,119,85,204,89,84,173,80,64,144,92,79,171,104,90,194,76,71,147,35,40,75,845,747,1592
2020-04-10,150,116,266,45,42,87,79,89,168,123,88,211,99,85,184,84,70,154,98,80,178,105,100,205,81,79,160,36,43,79,900,792,1692
2020-04-11,159,121,280,49,45,94,87,93,180,129,92,221,106,88,194,86,74,160,102,86,188,112,103,215,84,86,170,37,47,84,951,835,1786
2020-04-12,169,128,297,51,45,96,89,97,186,137,95,232,109,95,204,95,77,172,105,90,195,115,111,226,89,90,179,37,49,86,996,877,1873
2020-04-13,178,139,317,59,49,108,101,105,206,142,105,247,114,99,213,100,82,182,114,97,211,120,120,240,95,100,195,41,54,95,1064,950,2014
2020-04-14,193,145,338,62,50,112,109,111,220,151,110,261,119,103,222,111,89,200,118,104,222,130,125,255,101,104,205,45,58,103,1139,999,2138
2020-04-15,202,149,351,65,56,121,115,118,233,156,117,273,127,116,243,116,99,215,127,109,236,139,128,267,107,110,217,50,61,111,1204,1063,2267
2020-04-16,214,152,366,71,60,131,122,122,244,168,131,299,137,129,266,122,109,231,132,119,251,146,132,278,111,115,226,50,65,115,1273,1134,2407
2020-04-17,230,163,393,76,65,141,124,128,252,174,146,320,149,138,287,132,116,248,139,125,264,161,143,304,116,123,239,51,68,119,1352,1215,2567
2020-04-18,241,172,413,82,66,148,135,134,269,191,153,344,158,143,301,139,120,259,141,128,269,167,153,320,122,132,254,54,72,126,1430,1273,2703
2020-04-19,251,182,433,86,66,152,140,137,277,197,157,354,164,148,312,144,129,273,148,135,283,172,161,333,127,139,266,55,73,128,1484,1327,2811
