FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,81-90A,81-90B,81-90,>=91A,>=91B,>=91
2020-12-29,775,0,775,120,0,120,248,0,248,247,0,247,156,0,156,4,0,4,0,0,0,0,0,0,0,0,0
2020-12-30,1679,0,1679,283,0,283,543,0,543,518,0,518,326,0,326,8,0,8,1,0,1,0,0,0,0,0,0
2020-12-31,1776,0,1776,293,0,293,574,0,574,555,0,555,344,0,344,9,0,9,1,0,1,0,0,0,0,0,0
2021-01-01,1776,0,1776,293,0,293,574,0,574,555,0,555,344,0,344,9,0,9,1,0,1,0,0,0,0,0,0
2021-01-02,2206,0,2206,340,0,340,741,0,741,683,0,683,428,0,428,13,0,13,1,0,1,0,0,0,0,0,0
2021-01-03,2375,0,2375,366,0,366,814,0,814,725,0,725,456,0,456,13,0,13,1,0,1,0,0,0,0,0,0
2021-01-04,3315,0,3315,528,0,528,1133,0,1133,1003,0,1003,636,0,636,14,0,14,1,0,1,0,0,0,0,0,0
2021-01-05,4646,0,4646,741,0,741,1621,0,1621,1376,0,1376,888,0,888,18,0,18,2,0,2,0,0,0,0,0,0
2021-01-06,6084,0,6084,1003,0,1003,2092,0,2092,1790,0,1790,1175,0,1175,22,0,22,2,0,2,0,0,0,0,0,0
2021-01-07,7672,0,7672,1262,0,1262,2641,0,2641,2253,0,2253,1492,0,1492,22,0,22,2,0,2,0,0,0,0,0,0
2021-01-08,9529,0,9529,1613,0,1613,3273,0,3273,2786,0,2786,1824,0,1824,31,0,31,2,0,2,0,0,0,0,0,0
2021-01-09,9973,0,9973,1667,0,1667,3447,0,3447,2927,0,2927,1899,0,1899,31,0,31,2,0,2,0,0,0,0,0,0
2021-01-10,10544,0,10544,1748,0,1748,3688,0,3688,3083,0,3083,1989,0,1989,34,0,34,2,0,2,0,0,0,0,0,0
2021-01-11,12409,0,12409,2119,0,2119,4360,0,4360,3587,0,3587,2302,0,2302,39,0,39,2,0,2,0,0,0,0,0,0
2021-01-12,14102,0,14102,2408,0,2408,4984,0,4984,4031,0,4031,2635,0,2635,42,0,42,2,0,2,0,0,0,0,0,0
2021-01-13,15461,0,15461,2666,0,2666,5472,0,5472,4395,0,4395,2882,0,2882,44,0,44,2,0,2,0,0,0,0,0,0
2021-01-14,17689,0,17689,3118,0,3118,6252,0,6252,5011,0,5011,3261,0,3261,45,0,45,2,0,2,0,0,0,0,0,0
2021-01-15,21115,0,21115,3786,0,3786,7493,0,7493,5933,0,5933,3852,0,3852,49,0,49,2,0,2,0,0,0,0,0,0
2021-01-16,22453,0,22453,4036,0,4036,8000,0,8000,6299,0,6299,4067,0,4067,49,0,49,2,0,2,0,0,0,0,0,0
2021-01-17,23286,0,23286,4195,0,4195,8329,0,8329,6526,0,6526,4185,0,4185,49,0,49,2,0,2,0,0,0,0,0,0
2021-01-18,23793,0,23793,4277,0,4277,8493,0,8493,6689,0,6689,4283,0,4283,49,0,49,2,0,2,0,0,0,0,0,0
2021-01-19,24125,426,24551,4334,46,4380,8612,134,8746,6780,150,6930,4348,93,4441,49,3,52,2,0,2,0,0,0,0,0,0
2021-01-20,24276,1072,25348,4364,142,4506,8651,353,9004,6828,348,7176,4381,223,4604,50,5,55,2,1,3,0,0,0,0,0,0
2021-01-21,24359,1302,25661,4377,181,4558,8673,427,9100,6851,421,7272,4401,266,4667,55,6,61,2,1,3,0,0,0,0,0,0
2021-01-22,24364,1379,25743,4379,195,4574,8673,454,9127,6854,447,7301,4401,275,4676,55,7,62,2,1,3,0,0,0,0,0,0
2021-01-23,24369,1697,26066,4380,226,4606,8676,577,9253,6855,543,7398,4401,339,4740,55,10,65,2,2,4,0,0,0,0,0,0
2021-01-24,24371,1827,26198,4380,241,4621,8676,634,9310,6856,578,7434,4402,362,4764,55,10,65,2,2,4,0,0,0,0,0,0
2021-01-25,24374,2561,26935,4382,362,4744,8677,865,9542,6856,799,7655,4402,518,4920,55,14,69,2,3,5,0,0,0,0,0,0
2021-01-26,24383,3560,27943,4384,505,4889,8679,1193,9872,6859,1112,7971,4402,727,5129,56,20,76,2,3,5,0,0,0,1,0,1
2021-01-27,24387,4663,29050,4385,694,5079,8681,1558,10239,6859,1421,8280,4403,964,5367,56,23,79,2,3,5,0,0,0,1,0,1
2021-01-28,24387,5930,30317,4385,914,5299,8681,1983,10664,6859,1776,8635,4403,1231,5634,56,23,79,2,3,5,0,0,0,1,0,1
2021-01-29,24391,7627,32018,4385,1204,5589,8684,2599,11283,6860,2264,9124,4403,1525,5928,56,32,88,2,3,5,0,0,0,1,0,1
2021-01-30,24391,8042,32433,4385,1262,5647,8684,2763,11447,6860,2388,9248,4403,1594,5997,56,32,88,2,3,5,0,0,0,1,0,1
2021-01-31,24392,8384,32776,4385,1318,5703,8684,2898,11582,6860,2480,9340,4404,1652,6056,56,33,89,2,3,5,0,0,0,1,0,1
2021-02-01,24392,9874,34266,4385,1584,5969,8684,3455,12139,6860,2884,9744,4404,1909,6313,56,39,95,2,3,5,0,0,0,1,0,1
2021-02-02,26114,11333,37447,4482,1844,6326,8936,3955,12891,7119,3267,10386,4778,2222,7000,723,42,765,68,3,71,6,0,6,2,0,2
2021-02-03,28468,12556,41024,4712,2078,6790,9457,4374,13831,7602,3583,11185,5248,2473,7721,1305,45,1350,131,3,134,11,0,11,2,0,2
2021-02-04,30233,14355,44588,4856,2417,7273,9834,5019,14853,7956,4086,12042,5640,2785,8425,1721,45,1766,205,3,208,18,0,18,3,0,3
2021-02-05,33045,17164,50209,5178,2953,8131,10580,6064,16644,8542,4815,13357,6236,3279,9515,2183,50,2233,298,3,301,25,0,25,3,0,3
2021-02-06,33345,18112,51457,5203,3127,8330,10659,6396,17055,8617,5087,13704,6307,3449,9756,2231,50,2281,300,3,303,25,0,25,3,0,3
2021-02-07,33720,18743,52463,5251,3223,8474,10783,6622,17405,8720,5287,14007,6367,3558,9925,2268,50,2318,303,3,306,25,0,25,3,0,3
2021-02-08,34895,20028,54923,5391,3490,8881,11102,7083,18185,9002,5642,14644,6586,3760,10346,2460,50,2510,325,3,328,26,0,26,3,0,3
2021-02-09,36870,20968,57838,5703,3661,9364,11652,7403,19055,9419,5912,15331,6992,3938,10930,2725,50,2775,345,4,349,31,0,31,3,0,3
2021-02-10,37880,21516,59396,5848,3760,9608,11912,7596,19508,9672,6066,15738,7204,4039,11243,2846,51,2897,361,4,365,34,0,34,3,0,3
2021-02-11,38984,21918,60902,6018,3840,9858,12247,7749,19996,9928,6173,16101,7415,4096,11511,2958,56,3014,380,4,384,35,0,35,3,0,3
2021-02-12,39866,22471,62337,6143,3940,10083,12541,7947,20488,10145,6342,16487,7553,4181,11734,3043,57,3100,400,4,404,38,0,38,3,0,3
