FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91
2020-12-29,299,476,775,44,76,120,104,144,248,93,154,247,57,99,156,1,3,4,0,0,0,0,0,0,0,0,0
2020-12-30,638,1041,1679,95,188,283,226,317,543,189,329,518,125,201,326,3,5,8,0,1,1,0,0,0,0,0,0
2020-12-31,684,1092,1776,102,191,293,240,334,574,205,350,555,134,210,344,3,6,9,0,1,1,0,0,0,0,0,0
2021-01-01,684,1092,1776,102,191,293,240,334,574,205,350,555,134,210,344,3,6,9,0,1,1,0,0,0,0,0,0
2021-01-02,837,1369,2206,116,224,340,298,443,741,255,428,683,164,264,428,4,9,13,0,1,1,0,0,0,0,0,0
2021-01-03,892,1483,2375,125,241,366,323,491,814,267,458,725,173,283,456,4,9,13,0,1,1,0,0,0,0,0,0
2021-01-04,1248,2067,3315,186,342,528,439,694,1133,370,633,1003,248,388,636,5,9,14,0,1,1,0,0,0,0,0,0
2021-01-05,1763,2883,4646,260,481,741,656,965,1621,496,880,1376,345,543,888,6,12,18,0,2,2,0,0,0,0,0,0
2021-01-06,2328,3756,6084,359,644,1003,866,1226,2092,654,1136,1790,441,734,1175,8,14,22,0,2,2,0,0,0,0,0,0
2021-01-07,2902,4770,7672,449,813,1262,1067,1574,2641,815,1438,2253,563,929,1492,8,14,22,0,2,2,0,0,0,0,0,0
2021-01-08,3572,5957,9529,570,1043,1613,1294,1979,3273,1007,1779,2786,688,1136,1824,13,18,31,0,2,2,0,0,0,0,0,0
2021-01-09,3741,6232,9973,584,1083,1667,1366,2081,3447,1059,1868,2927,719,1180,1899,13,18,31,0,2,2,0,0,0,0,0,0
2021-01-10,3950,6594,10544,617,1131,1748,1455,2233,3688,1113,1970,3083,750,1239,1989,15,19,34,0,2,2,0,0,0,0,0,0
2021-01-11,4614,7795,12409,730,1389,2119,1723,2637,4360,1290,2297,3587,854,1448,2302,17,22,39,0,2,2,0,0,0,0,0,0
2021-01-12,5209,8893,14102,827,1581,2408,1959,3025,4984,1441,2590,4031,964,1671,2635,18,24,42,0,2,2,0,0,0,0,0,0
2021-01-13,5675,9786,15461,906,1760,2666,2123,3349,5472,1570,2825,4395,1057,1825,2882,19,25,44,0,2,2,0,0,0,0,0,0
2021-01-14,6479,11210,17689,1076,2042,3118,2415,3837,6252,1789,3222,5011,1180,2081,3261,19,26,45,0,2,2,0,0,0,0,0,0
2021-01-15,7675,13440,21115,1291,2495,3786,2882,4611,7493,2097,3836,5933,1386,2466,3852,19,30,49,0,2,2,0,0,0,0,0,0
2021-01-16,8152,14301,22453,1387,2649,4036,3060,4940,8000,2218,4081,6299,1468,2599,4067,19,30,49,0,2,2,0,0,0,0,0,0
2021-01-17,8438,14848,23286,1453,2742,4195,3174,5155,8329,2290,4236,6526,1502,2683,4185,19,30,49,0,2,2,0,0,0,0,0,0
2021-01-18,8626,15167,23793,1481,2796,4277,3234,5259,8493,2347,4342,6689,1545,2738,4283,19,30,49,0,2,2,0,0,0,0,0,0
2021-01-19,8912,15639,24551,1517,2863,4380,3316,5430,8746,2442,4488,6930,1616,2825,4441,21,31,52,0,2,2,0,0,0,0,0,0
2021-01-20,9203,16145,25348,1548,2958,4506,3424,5580,9004,2530,4646,7176,1680,2924,4604,21,34,55,0,3,3,0,0,0,0,0,0
2021-01-21,9331,16330,25661,1571,2987,4558,3468,5632,9100,2564,4708,7272,1702,2965,4667,26,35,61,0,3,3,0,0,0,0,0,0
2021-01-22,9364,16379,25743,1577,2997,4574,3481,5646,9127,2576,4725,7301,1704,2972,4676,26,36,62,0,3,3,0,0,0,0,0,0
2021-01-23,9483,16583,26066,1587,3019,4606,3526,5727,9253,2615,4783,7398,1728,3012,4740,27,38,65,0,4,4,0,0,0,0,0,0
2021-01-24,9527,16671,26198,1592,3029,4621,3546,5764,9310,2626,4808,7434,1736,3028,4764,27,38,65,0,4,4,0,0,0,0,0,0
2021-01-25,9806,17129,26935,1638,3106,4744,3630,5912,9542,2706,4949,7655,1803,3117,4920,29,40,69,0,5,5,0,0,0,0,0,0
2021-01-26,10171,17772,27943,1678,3211,4889,3775,6097,9872,2810,5161,7971,1876,3253,5129,32,44,76,0,5,5,0,0,0,0,1,1
2021-01-27,10615,18435,29050,1752,3327,5079,3944,6295,10239,2927,5353,8280,1958,3409,5367,34,45,79,0,5,5,0,0,0,0,1,1
2021-01-28,11073,19244,30317,1827,3472,5299,4096,6568,10664,3055,5580,8635,2061,3573,5634,34,45,79,0,5,5,0,0,0,0,1,1
2021-01-29,11709,20309,32018,1929,3660,5589,4339,6944,11283,3237,5887,9124,2165,3763,5928,39,49,88,0,5,5,0,0,0,0,1,1
2021-01-30,11862,20571,32433,1948,3699,5647,4399,7048,11447,3282,5966,9248,2194,3803,5997,39,49,88,0,5,5,0,0,0,0,1,1
2021-01-31,11980,20796,32776,1971,3732,5703,4441,7141,11582,3314,6026,9340,2214,3842,6056,40,49,89,0,5,5,0,0,0,0,1,1
2021-02-01,12527,21739,34266,2062,3907,5969,4666,7473,12139,3464,6280,9744,2294,4019,6313,41,54,95,0,5,5,0,0,0,0,1,1
2021-02-02,13706,23741,37447,2175,4151,6326,4954,7937,12891,3669,6717,10386,2519,4481,7000,346,419,765,37,34,71,5,1,6,1,1,2
2021-02-03,14972,26052,41024,2313,4477,6790,5278,8553,13831,3922,7263,11185,2765,4956,7721,612,738,1350,73,61,134,8,3,11,1,1,2
2021-02-04,16213,28375,44588,2473,4800,7273,5637,9216,14853,4213,7829,12042,2986,5439,8425,778,988,1766,112,96,208,12,6,18,2,1,3
2021-02-05,18121,32088,50209,2753,5378,8131,6257,10387,16644,4618,8739,13357,3343,6172,9515,968,1265,2233,163,138,301,17,8,25,2,1,3
2021-02-06,18564,32893,51457,2834,5496,8330,6393,10662,17055,4735,8969,13704,3429,6327,9756,990,1291,2281,164,139,303,17,8,25,2,1,3
2021-02-07,18918,33545,52463,2888,5586,8474,6506,10899,17405,4846,9161,14007,3487,6438,9925,1006,1312,2318,166,140,306,17,8,25,2,1,3
2021-02-08,19785,35138,54923,3016,5865,8881,6784,11401,18185,5056,9588,14644,3637,6709,10346,1095,1415,2510,177,151,328,18,8,26,2,1,3
2021-02-09,20775,37063,57838,3157,6207,9364,7086,11969,19055,5283,10048,15331,3818,7112,10930,1215,1560,2775,191,158,349,23,8,31,2,1,3
2021-02-10,21310,38086,59396,3238,6370,9608,7216,12292,19508,5428,10310,15738,3926,7317,11243,1274,1623,2897,200,165,365,26,8,34,2,1,3
2021-02-11,21760,39142,60902,3309,6549,9858,7360,12636,19996,5525,10576,16101,3996,7515,11511,1330,1684,3014,211,173,384,27,8,35,2,1,3
2021-02-12,22260,40077,62337,3382,6701,10083,7525,12963,20488,5636,10851,16487,4085,7649,11734,1376,1724,3100,224,180,404,30,8,38,2,1,3
2021-02-13,22280,40114,62394,3382,6707,10089,7533,12978,20511,5641,10859,16500,4092,7657,11749,1376,1724,3100,224,180,404,30,8,38,2,1,3
2021-02-14,22286,40138,62424,3384,6714,10098,7535,12985,20520,5641,10869,16510,4094,7657,11751,1376,1724,3100,224,180,404,30,8,38,2,1,3
2021-02-15,22286,40138,62424,3384,6714,10098,7535,12985,20520,5641,10869,16510,4094,7657,11751,1376,1724,3100,224,180,404,30,8,38,2,1,3
2021-02-16,22297,40173,62470,3385,6715,10100,7543,13003,20546,5643,10882,16525,4094,7660,11754,1376,1724,3100,224,180,404,30,8,38,2,1,3
2021-02-17,23094,41672,64766,3512,6943,10455,7790,13452,21242,5814,11311,17125,4238,7945,12183,1472,1827,3299,236,184,420,30,9,39,2,1,3
2021-02-18,24936,45543,70479,3728,7483,11211,8312,14498,22810,6193,12333,18526,4599,8725,13324,1739,2211,3950,314,277,591,49,15,64,2,1,3
2021-02-19,26591,49352,75943,3923,8016,11939,8758,15610,24368,6615,13314,19929,4905,9457,14362,1945,2548,4493,379,381,760,61,25,86,5,1,6
2021-02-20,27042,50137,77179,3968,8099,12067,8893,15881,24774,6727,13507,20234,4993,9607,14600,1998,2630,4628,396,386,782,62,26,88,5,1,6
2021-02-21,27370,50642,78012,4003,8164,12167,8986,16069,25055,6807,13638,20445,5071,9693,14764,2031,2660,4691,403,391,794,64,26,90,5,1,6
2021-02-22,30686,56766,87452,4198,8609,12807,9337,16931,26268,7073,14337,21410,5321,10237,15558,2301,2962,5263,775,902,1677,1518,2385,3903,163,403,566
2021-02-23,34711,64140,98851,4451,9136,13587,9783,18025,27808,7498,15337,22835,5684,11038,16722,2814,3578,6392,1148,1404,2552,2991,4795,7786,342,827,1169
2021-02-24,38762,71759,110521,4709,9597,14306,10333,19078,29411,7943,16302,24245,6012,11787,17799,3201,4080,7281,1538,2013,3551,4518,7554,12072,508,1348,1856
