FECHA,TotalA,TotalB,TotalC,Total,<=30A,<=30B,<=30C,<=30,31-40A,31-40B,31-40C,31-40,41-50A,41-50B,41-50C,41-50,51-60A,51-60B,51-60C,51-60,61-70A,61-70B,61-70C,61-70,71-80A,71-80B,71-80C,71-80,81-90A,81-90B,81-90C,81-90,>=91A,>=91B,>=91C,>=91
2020-12-29,671,0,0,671,106,0,0,106,219,0,0,219,212,0,0,212,131,0,0,131,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,1453,0,0,1453,250,0,0,250,467,0,0,467,452,0,0,452,278,0,0,278,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,1534,0,0,1534,260,0,0,260,495,0,0,495,480,0,0,480,292,0,0,292,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,1535,0,0,1535,260,0,0,260,496,0,0,496,480,0,0,480,292,0,0,292,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,1917,0,0,1917,302,0,0,302,645,0,0,645,593,0,0,593,368,0,0,368,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2065,0,0,2065,324,0,0,324,708,0,0,708,632,0,0,632,392,0,0,392,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2909,0,0,2909,472,0,0,472,999,0,0,999,877,0,0,877,551,0,0,551,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,4109,0,0,4109,669,0,0,669,1437,0,0,1437,1214,0,0,1214,774,0,0,774,14,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-06,5398,0,0,5398,905,0,0,905,1869,0,0,1869,1581,0,0,1581,1026,0,0,1026,16,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-07,6819,0,0,6819,1147,0,0,1147,2357,0,0,2357,1990,0,0,1990,1308,0,0,1308,16,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-08,8661,0,0,8661,1498,0,0,1498,2985,0,0,2985,2518,0,0,2518,1635,0,0,1635,24,0,0,24,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-09,9100,0,0,9100,1552,0,0,1552,3157,0,0,3157,2656,0,0,2656,1710,0,0,1710,24,0,0,24,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-10,9667,0,0,9667,1633,0,0,1633,3397,0,0,3397,2811,0,0,2811,1799,0,0,1799,26,0,0,26,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-11,11515,0,0,11515,2002,0,0,2002,4063,0,0,4063,3308,0,0,3308,2110,0,0,2110,31,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-12,13195,0,0,13195,2287,0,0,2287,4688,0,0,4688,3747,0,0,3747,2439,0,0,2439,33,0,0,33,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-13,14550,0,0,14550,2545,0,0,2545,5175,0,0,5175,4109,0,0,4109,2686,0,0,2686,34,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-14,16763,0,0,16763,2993,0,0,2993,5954,0,0,5954,4719,0,0,4719,3061,0,0,3061,35,0,0,35,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-15,20172,0,0,20172,3658,0,0,3658,7189,0,0,7189,5637,0,0,5637,3649,0,0,3649,38,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-16,21501,0,0,21501,3907,0,0,3907,7692,0,0,7692,6000,0,0,6000,3863,0,0,3863,38,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-17,22330,0,0,22330,4066,0,0,4066,8019,0,0,8019,6225,0,0,6225,3981,0,0,3981,38,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-18,22834,0,0,22834,4148,0,0,4148,8184,0,0,8184,6384,0,0,6384,4079,0,0,4079,38,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-19,23233,354,0,23587,4212,39,0,4251,8323,111,0,8434,6497,126,0,6623,4162,75,0,4237,38,3,0,41,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-20,23467,914,0,24381,4251,126,0,4377,8395,297,0,8692,6571,297,0,6868,4209,190,0,4399,40,4,0,44,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-21,23592,1110,0,24702,4271,159,0,4430,8426,364,0,8790,6611,357,0,6968,4237,225,0,4462,45,5,0,50,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-22,23614,1177,0,24791,4276,171,0,4447,8432,388,0,8820,6616,381,0,6997,4241,231,0,4472,46,6,0,52,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-23,23653,1456,0,25109,4280,198,0,4478,8448,496,0,8944,6630,466,0,7096,4246,289,0,4535,46,7,0,53,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-24,23674,1568,0,25242,4284,208,0,4492,8456,546,0,9002,6634,499,0,7133,4251,308,0,4559,46,7,0,53,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-25,23762,2225,0,25987,4302,314,0,4616,8477,758,0,9235,6663,694,0,7357,4270,449,0,4719,47,10,0,57,3,0,0,3,0,0,0,0,0,0,0,0
