FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91
2020-12-29,299,477,776,44,76,120,104,144,248,93,154,247,57,100,157,1,2,3,0,1,1,0,0,0,0,0,0
2020-12-30,638,1042,1680,95,188,283,226,317,543,189,329,518,125,203,328,3,3,6,0,2,2,0,0,0,0,0,0
2020-12-31,684,1093,1777,102,191,293,240,334,574,205,350,555,134,212,346,3,4,7,0,2,2,0,0,0,0,0,0
2021-01-01,684,1093,1777,102,191,293,240,334,574,205,350,555,134,212,346,3,4,7,0,2,2,0,0,0,0,0,0
2021-01-02,837,1371,2208,116,224,340,298,443,741,255,428,683,164,267,431,4,6,10,0,3,3,0,0,0,0,0,0
2021-01-03,892,1485,2377,125,241,366,323,491,814,267,458,725,173,286,459,4,6,10,0,3,3,0,0,0,0,0,0
2021-01-04,1248,2069,3317,186,342,528,439,694,1133,370,633,1003,248,391,639,5,6,11,0,3,3,0,0,0,0,0,0
2021-01-05,1762,2883,4645,259,479,738,656,965,1621,496,880,1376,345,546,891,6,9,15,0,4,4,0,0,0,0,0,0
2021-01-06,2327,3759,6086,358,642,1000,866,1226,2092,654,1136,1790,441,738,1179,8,11,19,0,6,6,0,0,0,0,0,0
2021-01-07,2901,4773,7674,448,811,1259,1067,1574,2641,815,1438,2253,563,933,1496,8,11,19,0,6,6,0,0,0,0,0,0
2021-01-08,3572,5961,9533,569,1041,1610,1294,1979,3273,1007,1779,2786,687,1140,1827,14,15,29,1,7,8,0,0,0,0,0,0
2021-01-09,3741,6236,9977,583,1081,1664,1366,2081,3447,1059,1868,2927,718,1184,1902,14,15,29,1,7,8,0,0,0,0,0,0
2021-01-10,3950,6600,10550,616,1129,1745,1455,2233,3688,1113,1970,3083,749,1244,1993,16,16,32,1,8,9,0,0,0,0,0,0
2021-01-11,4613,7801,12414,727,1387,2114,1723,2637,4360,1290,2297,3587,854,1453,2307,18,19,37,1,8,9,0,0,0,0,0,0
2021-01-12,5208,8900,14108,824,1579,2403,1959,3025,4984,1441,2590,4031,964,1677,2641,19,21,40,1,8,9,0,0,0,0,0,0
2021-01-13,5674,9795,15469,903,1758,2661,2123,3350,5473,1570,2825,4395,1057,1831,2888,20,22,42,1,9,10,0,0,0,0,0,0
2021-01-14,6478,11219,17697,1073,2040,3113,2415,3838,6253,1789,3222,5011,1180,2087,3267,20,23,43,1,9,10,0,0,0,0,0,0
2021-01-15,7674,13449,21123,1288,2493,3781,2882,4611,7493,2097,3836,5933,1386,2472,3858,20,27,47,1,10,11,0,0,0,0,0,0
2021-01-16,8151,14310,22461,1384,2647,4031,3060,4940,8000,2218,4081,6299,1468,2605,4073,20,27,47,1,10,11,0,0,0,0,0,0
2021-01-17,8436,14857,23293,1450,2740,4190,3173,5155,8328,2290,4236,6526,1502,2689,4191,20,27,47,1,10,11,0,0,0,0,0,0
2021-01-18,8624,15176,23800,1478,2794,4272,3233,5259,8492,2347,4342,6689,1545,2744,4289,20,27,47,1,10,11,0,0,0,0,0,0
2021-01-19,8910,15648,24558,1514,2861,4375,3315,5430,8745,2442,4488,6930,1616,2831,4447,22,28,50,1,10,11,0,0,0,0,0,0
2021-01-20,9202,16154,25356,1545,2956,4501,3424,5580,9004,2530,4646,7176,1680,2931,4611,22,30,52,1,11,12,0,0,0,0,0,0
2021-01-21,9332,16340,25672,1568,2985,4553,3468,5632,9100,2565,4709,7274,1703,2972,4675,27,31,58,1,11,12,0,0,0,0,0,0
2021-01-22,9366,16389,25755,1574,2995,4569,3481,5646,9127,2577,4726,7303,1705,2979,4684,28,32,60,1,11,12,0,0,0,0,0,0
2021-01-23,9485,16594,26079,1584,3017,4601,3526,5727,9253,2616,4784,7400,1729,3021,4750,29,33,62,1,12,13,0,0,0,0,0,0
2021-01-24,9529,16683,26212,1589,3027,4616,3546,5764,9310,2627,4810,7437,1737,3037,4774,29,33,62,1,12,13,0,0,0,0,0,0
2021-01-25,9810,17144,26954,1634,3104,4738,3630,5912,9542,2707,4953,7660,1807,3128,4935,31,34,65,1,13,14,0,0,0,0,0,0
2021-01-26,10177,17788,27965,1674,3209,4883,3775,6096,9871,2812,5166,7978,1881,3265,5146,34,38,72,1,13,14,0,0,0,0,1,1
2021-01-27,10621,18452,29073,1748,3325,5073,3944,6294,10238,2929,5359,8288,1963,3420,5383,36,39,75,1,14,15,0,0,0,0,1,1
2021-01-28,11080,19260,30340,1823,3470,5293,4096,6567,10663,3057,5585,8642,2066,3584,5650,37,39,76,1,14,15,0,0,0,0,1,1
2021-01-29,11717,20325,32042,1925,3658,5583,4339,6943,11282,3239,5892,9131,2170,3774,5944,42,43,85,2,14,16,0,0,0,0,1,1
2021-01-30,11870,20587,32457,1944,3697,5641,4399,7047,11446,3284,5971,9255,2199,3814,6013,42,43,85,2,14,16,0,0,0,0,1,1
2021-01-31,11988,20812,32800,1967,3730,5697,4441,7140,11581,3316,6031,9347,2219,3853,6072,43,43,86,2,14,16,0,0,0,0,1,1
2021-02-01,12535,21756,34291,2058,3905,5963,4666,7472,12138,3466,6285,9751,2299,4030,6329,44,48,92,2,15,17,0,0,0,0,1,1
2021-02-02,13716,23760,37476,2171,4149,6320,4954,7936,12890,3671,6722,10393,2525,4494,7019,350,411,761,39,45,84,5,2,7,1,1,2
2021-02-03,14982,26069,41051,2309,4475,6784,5278,8553,13831,3924,7268,11192,2771,4968,7739,616,729,1345,75,71,146,8,4,12,1,1,2
2021-02-04,16223,28393,44616,2469,4799,7268,5637,9217,14854,4215,7834,12049,2992,5451,8443,782,979,1761,114,105,219,12,7,19,2,1,3
2021-02-05,18131,32106,50237,2749,5377,8126,6257,10387,16644,4620,8744,13364,3349,6185,9534,972,1256,2228,165,147,312,17,9,26,2,1,3
2021-02-06,18574,32911,51485,2830,5495,8325,6393,10662,17055,4737,8974,13711,3435,6340,9775,994,1282,2276,166,148,314,17,9,26,2,1,3
2021-02-07,18927,33563,52490,2884,5585,8469,6506,10899,17405,4847,9166,14013,3493,6451,9944,1010,1303,2313,168,149,317,17,9,26,2,1,3
2021-02-08,19794,35156,54950,3012,5864,8876,6784,11401,18185,5057,9593,14650,3643,6722,10365,1099,1407,2506,179,159,338,18,9,27,2,1,3
2021-02-09,20785,37082,57867,3153,6206,9359,7087,11969,19056,5284,10053,15337,3824,7126,10950,1219,1553,2772,193,165,358,23,9,32,2,1,3
2021-02-10,21321,38106,59427,3234,6370,9604,7218,12292,19510,5429,10315,15744,3932,7331,11263,1278,1616,2894,202,172,374,26,9,35,2,1,3
2021-02-11,21773,39164,60937,3305,6550,9855,7362,12636,19998,5526,10581,16107,4004,7529,11533,1334,1678,3012,213,180,393,27,9,36,2,1,3
2021-02-12,22276,40104,62380,3378,6702,10080,7528,12965,20493,5638,10856,16494,4093,7666,11759,1381,1718,3099,226,187,413,30,9,39,2,1,3
2021-02-13,22296,40141,62437,3378,6708,10086,7536,12980,20516,5643,10864,16507,4100,7674,11774,1381,1718,3099,226,187,413,30,9,39,2,1,3
2021-02-14,22302,40165,62467,3380,6715,10095,7538,12987,20525,5643,10874,16517,4102,7674,11776,1381,1718,3099,226,187,413,30,9,39,2,1,3
2021-02-15,22302,40165,62467,3380,6715,10095,7538,12987,20525,5643,10874,16517,4102,7674,11776,1381,1718,3099,226,187,413,30,9,39,2,1,3
