FECHA,SputnikA,SputnikB,Sputnik,ModernaA,ModernaB,Moderna,PfizerA,PfizerB,Pfizer,SinopharmA,SinopharmB,Sinopharm,AstraZenecaA,AstraZenecaB,AstraZeneca,CansinoA,CansinoB,Cansino,TotalA,TotalB,Total
2020-12-29,775,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,775
2020-12-30,903,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,903
2020-12-31,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,430,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,430
2021-01-03,169,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,169
2021-01-04,940,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,940
2021-01-05,1327,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,1327
2021-01-06,1438,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,1438
2021-01-07,1589,0,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589,0,1589
2021-01-08,1857,0,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,0,1857
2021-01-09,444,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,444
2021-01-10,571,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,571
2021-01-11,1862,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,1862
2021-01-12,1692,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,0,1692
2021-01-13,1359,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,0,1359
2021-01-14,2228,0,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,0,2228
2021-01-15,3424,0,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3424,0,3424
2021-01-16,1337,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,1337
2021-01-17,832,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,832
2021-01-18,507,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,507
2021-01-19,332,426,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,426,758
2021-01-20,152,646,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,646,798
2021-01-21,87,229,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,229,316
2021-01-22,6,77,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,77,83
2021-01-23,5,317,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,317,322
2021-01-24,3,130,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,130,133
2021-01-25,8,733,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,733,741
2021-01-26,19,998,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,998,1017
2021-01-27,7,1102,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1102,1109
2021-01-28,3,1266,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1266,1269
2021-01-29,5,1698,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1698,1703
2021-01-30,0,415,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,415
2021-01-31,1,342,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342,343
2021-02-01,0,1489,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,1489
2021-02-02,1728,1460,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,1460,3188
2021-02-03,2353,1224,3577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353,1224,3577
2021-02-04,1766,1800,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,1800,3566
2021-02-05,2813,2808,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813,2808,5621
2021-02-06,300,948,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,948,1248
2021-02-07,374,631,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,631,1005
2021-02-08,1175,1285,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,1285,2460
2021-02-09,1978,939,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,939,2917
2021-02-10,1019,548,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,548,1567
2021-02-11,1112,403,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,403,1515
2021-02-12,897,556,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,556,1453
2021-02-13,31,41,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,72
2021-02-14,1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,30
2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,6,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,47
2021-02-17,1997,306,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,306,2303
2021-02-18,5441,288,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5441,288,5729
2021-02-19,5286,200,5486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5286,200,5486
2021-02-20,1222,15,1237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1222,15,1237
2021-02-21,829,1,830,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,832,1,833
2021-02-22,4086,138,4224,0,0,0,0,0,0,0,0,0,5444,0,5444,0,0,0,9530,138,9668
2021-02-23,4516,1640,6156,0,0,0,0,0,0,0,0,0,5224,0,5224,0,0,0,9740,1640,11380
2021-02-24,3994,1815,5809,0,0,0,0,0,0,0,0,0,5858,0,5858,0,0,0,9852,1815,11667
2021-02-25,3984,1831,5815,0,0,0,0,0,0,0,0,0,5780,0,5780,0,0,0,9764,1831,11595
2021-02-26,3429,2519,5948,0,0,0,0,0,0,0,0,0,5869,0,5869,0,0,0,9298,2519,11817
2021-02-27,785,116,901,0,0,0,0,0,0,1,0,1,719,0,719,0,0,0,1505,116,1621
2021-02-28,94,142,236,0,0,0,0,0,0,1,0,1,270,0,270,0,0,0,365,142,507
2021-03-01,1661,1119,2780,0,0,0,0,0,0,0,0,0,6374,0,6374,0,0,0,8035,1119,9154
2021-03-02,1491,1226,2717,0,0,0,0,0,0,129,0,129,6057,1,6058,0,0,0,7677,1227,8904
2021-03-03,603,1630,2233,0,0,0,0,0,0,749,0,749,5700,0,5700,0,0,0,7052,1630,8682
2021-03-04,555,1184,1739,0,0,0,0,0,0,1050,0,1050,1350,0,1350,0,0,0,2955,1184,4139
2021-03-05,506,1162,1668,0,0,0,0,0,0,1211,0,1211,826,0,826,0,0,0,2543,1162,3705
2021-03-06,10,119,129,0,0,0,0,0,0,2025,0,2025,827,0,827,0,0,0,2862,119,2981
2021-03-07,8,11,19,0,0,0,0,0,0,1914,0,1914,779,0,779,0,0,0,2701,11,2712
2021-03-08,1324,353,1677,0,0,0,0,0,0,758,0,758,2340,0,2340,0,0,0,4422,353,4775
2021-03-09,7028,188,7216,0,0,0,1,0,0,1533,0,1533,1860,0,1860,0,0,0,10421,188,10609
2021-03-10,7916,550,8466,0,0,0,0,0,0,3312,0,3312,979,0,979,0,0,0,12207,550,12757
2021-03-11,7842,3618,11460,0,0,0,0,0,0,5058,0,5058,987,0,987,0,0,0,13887,3618,17505
2021-03-12,3395,4604,7999,0,0,0,0,1,0,5729,0,5729,375,0,375,0,0,0,9499,4604,14103
2021-03-13,307,819,1126,0,0,0,0,0,0,5104,0,5104,363,0,363,0,0,0,5774,819,6593
2021-03-14,292,729,1021,0,0,0,0,0,0,3977,0,3977,0,0,0,0,0,0,4269,729,4998
2021-03-15,2137,4319,6456,0,0,0,0,0,0,5143,0,5143,343,0,343,0,0,0,7623,4319,11942
2021-03-16,5344,3727,9071,0,0,0,0,0,0,4097,0,4097,206,2,208,0,0,0,9647,3729,13376
2021-03-17,5859,4124,9983,0,0,0,0,0,0,3246,0,3246,186,0,186,0,0,0,9291,4124,13415
2021-03-18,5995,3301,9296,0,0,0,0,0,0,4704,0,4704,229,3,232,0,0,0,10928,3304,14232
2021-03-19,5310,3359,8669,0,0,0,0,0,0,5135,0,5135,225,1,226,0,0,0,10670,3360,14030
2021-03-20,5087,565,5652,0,0,0,0,0,0,1470,0,1470,0,0,0,0,0,0,6557,565,7122
2021-03-21,4595,476,5071,0,0,0,0,0,0,65,0,65,1,1,2,0,0,0,4661,477,5138
2021-03-22,3277,2736,6013,0,0,0,0,0,0,506,0,506,17,2,19,0,0,0,3800,2738,6538
