FECHA,SputnikA,SputnikB,Sputnik,ModernaA,ModernaB,Moderna,PfizerA,PfizerB,Pfizer,SinopharmA,SinopharmB,Sinopharm,AstraZenecaA,AstraZenecaB,AstraZeneca,CansinoA,CansinoB,Cansino,TotalA,TotalB,Total
2020-12-29,775,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,775
2020-12-30,1678,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678,0,1678
2020-12-31,1775,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,0,1775
2021-01-01,1775,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,0,1775
2021-01-02,2205,0,2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,2205
2021-01-03,2374,0,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,0,2374
2021-01-04,3314,0,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3314,0,3314
2021-01-05,4641,0,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4641,0,4641
2021-01-06,6079,0,6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6079,0,6079
2021-01-07,7667,0,7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7667,0,7667
2021-01-08,9524,0,9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9524,0,9524
2021-01-09,9968,0,9968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9968,0,9968
2021-01-10,10539,0,10539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10539,0,10539
2021-01-11,12402,0,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12402,0,12402
2021-01-12,14094,0,14094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14094,0,14094
2021-01-13,15452,0,15452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15452,0,15452
2021-01-14,17680,0,17680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17680,0,17680
2021-01-15,21104,0,21104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21104,0,21104
2021-01-16,22441,0,22441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22441,0,22441
2021-01-17,23273,0,23273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23273,0,23273
2021-01-18,23780,0,23780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23780,0,23780
2021-01-19,24112,426,24538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24112,426,24538
2021-01-20,24264,1072,25336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24264,1072,25336
2021-01-21,24351,1301,25652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24351,1301,25652
2021-01-22,24357,1378,25735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24357,1378,25735
2021-01-23,24362,1695,26057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24362,1695,26057
2021-01-24,24365,1825,26190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24365,1825,26190
2021-01-25,24373,2558,26931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373,2558,26931
2021-01-26,24391,3556,27947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24391,3556,27947
2021-01-27,24399,4658,29057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24399,4658,29057
2021-01-28,24400,5924,30324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24400,5924,30324
2021-01-29,24404,7621,32025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24404,7621,32025
2021-01-30,24404,8036,32440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24404,8036,32440
2021-01-31,24405,8378,32783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24405,8378,32783
2021-02-01,24405,9867,34272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24405,9867,34272
2021-02-02,26134,11327,37461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26134,11327,37461
2021-02-03,28488,12550,41038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28488,12550,41038
2021-02-04,30254,14350,44604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30254,14350,44604
2021-02-05,33066,17158,50224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33066,17158,50224
2021-02-06,33366,18106,51472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33366,18106,51472
2021-02-07,33740,18737,52477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33740,18737,52477
2021-02-08,34916,20022,54938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34916,20022,54938
2021-02-09,36894,20961,57855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36894,20961,57855
2021-02-10,37906,21509,59415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37906,21509,59415
2021-02-11,39019,21912,60931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39019,21912,60931
2021-02-12,39915,22468,62383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39915,22468,62383
2021-02-13,39946,22509,62455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39946,22509,62455
2021-02-14,39947,22538,62485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39947,22538,62485
2021-02-15,39947,22538,62485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39947,22538,62485
2021-02-16,39953,22579,62532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39953,22579,62532
2021-02-17,41950,22885,64835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41950,22885,64835
2021-02-18,47389,23173,70562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47389,23173,70562
2021-02-19,52675,23373,76048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52675,23373,76048
2021-02-20,53897,23388,77285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53897,23388,77285
2021-02-21,54727,23389,78116,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,54730,23389,78119
2021-02-22,58813,23527,82340,0,0,0,1,0,0,0,0,0,5448,0,5448,0,0,0,64261,23527,87788
2021-02-23,63329,25167,88496,0,0,0,1,0,0,0,0,0,10674,0,10674,0,0,0,74003,25167,99170
2021-02-24,67323,26982,94305,0,0,0,1,0,0,0,0,0,16531,0,16531,0,0,0,83854,26982,110836
2021-02-25,71306,28813,100119,0,0,0,1,0,0,0,0,0,22312,0,22312,0,0,0,93618,28813,122431
2021-02-26,74734,31330,106064,0,0,0,1,0,0,0,0,0,28184,0,28184,0,0,0,102918,31330,134248
2021-02-27,75518,31446,106964,0,0,0,1,0,0,1,0,1,28918,0,28918,0,0,0,104437,31446,135883
2021-02-28,75612,31588,107200,0,0,0,1,0,0,2,0,2,29188,0,29188,0,0,0,104802,31588,136390
2021-03-01,77271,32707,109978,0,0,0,1,0,0,2,0,2,35562,0,35562,0,0,0,112835,32707,145542
2021-03-02,78762,33933,112695,0,0,0,1,0,0,131,0,131,41618,1,41619,0,0,0,120511,33934,154445
2021-03-03,79365,35563,114928,0,0,0,1,0,0,880,0,880,47320,1,47321,0,0,0,127565,35564,163129
2021-03-04,79919,36748,116667,0,0,0,1,0,0,1930,0,1930,48670,1,48671,0,0,0,130519,36749,167268
2021-03-05,80425,37910,118335,0,0,0,1,0,0,3141,0,3141,49496,1,49497,0,0,0,133062,37911,170973
2021-03-06,80435,38029,118464,0,0,0,1,0,0,5166,0,5166,50324,1,50325,0,0,0,135925,38030,173955
2021-03-07,80443,38040,118483,0,0,0,1,0,0,7080,0,7080,51103,1,51104,0,0,0,138626,38041,176667
2021-03-08,81767,38392,120159,0,0,0,1,0,0,7838,0,7838,53443,1,53444,0,0,0,143048,38393,181441
2021-03-09,88795,38580,127375,0,0,0,1,0,0,9371,0,9371,55303,1,55304,0,0,0,153469,38581,192050
2021-03-10,96710,39130,135840,0,0,0,1,0,0,12683,0,12683,56284,1,56285,0,0,0,165677,39131,204808
2021-03-11,104552,42748,147300,0,0,0,1,0,0,17742,0,17742,57271,1,57272,0,0,0,179565,42749,222314
2021-03-12,107944,47347,155291,0,0,0,1,1,0,23471,0,23471,57646,1,57647,0,0,0,189061,47348,236409
2021-03-13,108251,48166,156417,0,0,0,1,1,0,28575,0,28575,58009,1,58010,0,0,0,194835,48167,243002
2021-03-14,108543,48896,157439,0,0,0,1,1,0,32552,0,32552,58009,1,58010,0,0,0,199104,48897,248001
2021-03-15,110680,53213,163893,0,0,0,1,1,0,37695,0,37695,58352,1,58353,0,0,0,206727,53214,259941
2021-03-16,116024,56940,172964,0,0,0,1,1,0,41792,0,41792,58558,3,58561,0,0,0,216374,56943,273317
2021-03-17,121884,61061,182945,0,0,0,1,1,0,45038,0,45038,58744,3,58747,0,0,0,225666,61064,286730
2021-03-18,127877,64333,192210,0,0,0,1,1,0,49742,0,49742,58973,6,58979,0,0,0,236592,64339,300931
2021-03-19,133187,67691,200878,0,0,0,1,1,0,54877,0,54877,59198,7,59205,0,0,0,247262,67698,314960
